SF_Id,Name,Stage,Field,Before,After,Source,Timestamp,Action
006WR00000wkDuQYAU,Copper Commons,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEZoYAM,Tierra Pointe,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEZqYAM,Comanche Wells,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb1YAE,Horizon Heights,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb3YAE,Sunridge Patio Homes,Marketing/Bulk Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb3YAE,Sunridge Patio Homes,Marketing/Bulk Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb4YAE,Main Street Commons,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb5YAE,Greenfield Village RV Resort,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb5YAE,Greenfield Village RV Resort,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb6YAE,Pecan Acres RV Park,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb7YAE,The Bungalows on 204,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
