Id,Name,Next_Action__c,result,detail
006WR00000xwFntYAE,Omaha_MDU_Parkgate Apartments,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000xvXYPYA2,Omaha_MDU_Sweet Briar,Moved from Closed Lost - Other to Prospects per 7/23/2026 call,OK,
006WR00000wkA8qYAE,Aspen Condos,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkA8aYAE,Beau Manor Townhomes,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkA8VYAU,Copperstone Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkCkqYAE,Lamplighter Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkA8uYAE,Lepuy Apartments,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wjnlWYAQ,MAA Watermark,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000xuM3zYAE,Taylor_MDU_Dahlberg,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000xw8peYAA,Taylor_MDU_Sunny Lane Apartments,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000wkDt9YAE,Indian Creek Duplexes,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkA7SYAU,Vineyards at Trophy Club,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
