SF_Id,Name,Object,Field,Before,After,Source,Timestamp,Action
006WR00000wkDvDYAU,Lemoli Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDvEYAU,Willow Lake,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDvFYAU,Chadron Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDvGYAU,Forest Gate Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDvHYAU,Vanowen Manor II,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDvIYAU,Alameda Palms,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZdYAM,Strathmore Terrace,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZeYAM,Heritage Park,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZfYAM,Crenshaw Terrace Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZgYAM,University Courtyards Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZhYAM,Leimert Park,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZiYAM,Saratoga Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZjYAM,Ladera Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZkYAM,The Oaks Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZlYAM,Fallbrook View Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZmYAM,Turnagain Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZtYAM,5307 Ravenna,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZvYAM,1744 Dexter Avenue Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZxYAM,Villa Park Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZyYAM,Green Lake South,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEZzYAM,430 NE Ravenna,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEa0YAE,Lakeland,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaHYAU,Oxnard Terrace Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaIYAU,Vassar Terrace Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaJYAU,9404 Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaKYAU,Villa Lago Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
