Id,Name,Agreement_Name__c,field,old_value,new_value
006WR00000wkDMZYA2,Parkside Crossing Condominiums,Georgetown_MDU_Parkside Crossing Condominiums,Loss_Reason__c,,Existing Contract
006WR00000wj8KqYAI,Parkview (AKA Elevate Apartments),Georgetown_MDU_Parkview,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wk9Z9YAI,Residences of Stillwater,Georgetown_MDU_Residences In Stillwater,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkDLsYAM,Williamson At The Overlook,Georgetown_MDU_Williamson At The Overlook,StageName,Prospects,Closed Lost
006WR00000wkDLsYAM,Williamson At The Overlook,Georgetown_MDU_Williamson At The Overlook,Loss_Reason__c,,Existing Contract
006WR00000xwHBNYA2,Harker Heights_MDU_506-508 E Beeline Ln,Harker Heights_MDU_506-508 E Beeline Ln,StageName,Closed Lost,Prospects
006WR00000xwHBNYA2,Harker Heights_MDU_506-508 E Beeline Ln,Harker Heights_MDU_506-508 E Beeline Ln,Loss_Reason__c,Not Interested,
006WR00000xwHBNYA2,Harker Heights_MDU_506-508 E Beeline Ln,Harker Heights_MDU_506-508 E Beeline Ln,OwnerId,Justin Barry,005WR00000Ewjj3YAB
006WR00000wkDMNYA2,Heights at 701,Harker Heights_MDU_Height_at_701_ Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkCm9YAE,Indian Trail Estates MHP,HARKER HEIGHTS_MDU_Indian Trail Estates MH,OwnerId,Unassigned MDU,005WR00000Ewjj3YAB
006WR00000wk9Z6YAI,Stillhouse Flats,Harker Heights_MDU_Stillhouse Flats,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkDtGYAU,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,StageName,Prospects,Closed Lost
006WR00000wkDtGYAU,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,Loss_Reason__c,,Other
006WR00000wkDtGYAU,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000xuvORYAY,HARKER HEIGHTS_MDU_700 S Amy Ln apt,HARKER HEIGHTS_MDU_700 S Amy Ln apt,OwnerId,Justin Barry,005WR00000Ewjj3YAB
006WR00000xwGtdYAE,HARKER HEIGHTS_MDU_Cedar_Knob_RD MHP,HARKER HEIGHTS_MDU_Cedar_Knob_RD MHP,OwnerId,Justin Barry,005WR00000Ewjj3YAB
006WR00000xuf3NYAQ,Harker Heights_MDU_Dove Lane Apts,Harker Heights_MDU_Dove Lane Apts,StageName,Closed Lost,Prospects
006WR00000xuf3NYAQ,Harker Heights_MDU_Dove Lane Apts,Harker Heights_MDU_Dove Lane Apts,Loss_Reason__c,Not Interested,
006WR00000xuf3NYAQ,Harker Heights_MDU_Dove Lane Apts,Harker Heights_MDU_Dove Lane Apts,OwnerId,Justin Barry,005WR00000Ewjj3YAB
006WR00000xwGdVYAU,HARKER HEIGHTS_MDU_JR's_Trailer_Park,HARKER HEIGHTS_MDU_JR's_Trailer_Park,OwnerId,Justin Barry,005WR00000Ewjj3YAB
006WR00000wkDtHYAU,Landmark Oak_Mobile_Park,HARKER_HEIGHTS_MDU_Landmark Oak_Mobile_Park,StageName,Prospects,Closed Lost
006WR00000wkDtHYAU,Landmark Oak_Mobile_Park,HARKER_HEIGHTS_MDU_Landmark Oak_Mobile_Park,Loss_Reason__c,,Other
006WR00000wkDtHYAU,Landmark Oak_Mobile_Park,HARKER_HEIGHTS_MDU_Landmark Oak_Mobile_Park,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkDtUYAU,Mobile Manor Estates,HARKER_HEIGHTS_MDU_Mobile Manor Estates,OwnerId,Unassigned MDU,005WR00000Ewjj3YAB
006WR00000xwAl0YAE,Harker Heights_MDU_Mockingbird Ln,Harker Heights_MDU_Mockingbird Ln,OwnerId,Justin Barry,005WR00000Ewjj3YAB
006WR00000wkABwYAM,Pleasant View MHP,HARKER_HEIGHTS_MDU_Phesant View MHP,StageName,Prospects,On Hold
006WR00000wkABwYAM,Pleasant View MHP,HARKER_HEIGHTS_MDU_Phesant View MHP,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkABrYAM,Star Estates MHP,HARKER_HEIGHTS_MDU_Star_Estates_Mobile_Park,StageName,Prospects,On Hold
006WR00000wkABrYAM,Star Estates MHP,HARKER_HEIGHTS_MDU_Star_Estates_Mobile_Park,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000xwGaHYAU,Harker Heights_MDU_Village Apts,Harker Heights_MDU_Village Apts,OwnerId,Justin Barry,005WR00000Ewjj3YAB
006WR00000wkClhYAE,Hutto Station Apartments,HUTTO_MDU_Hutto Station Apartments,OwnerId,Unassigned MDU,005WR000003CD6DYAW
