Id,Name,StageName,Owner,Property_Address,Property_City,Property_State,Property_Zip,current_category,franchise_type,suggested_category,distance_ft,nearest_fiber_addr,nearest_fdh,via_optk,change_type,geocode_note
006WR00000wkDtsYAE,The Cliffs at Canyon Ridge,On Hold,Brett Spivey,"1455 Valley Dr, Ogden, UT, USA",OGDEN,UT,84401,Cat 3,In-Franchise,Cat 3,2778018.3,14602 N 19TH AVE UNIT 106 PHOENIX AZ 85023,FB01,,no_change,"1455 VALLEY DR, OGDEN, UT, 84401"
006WR00000wkDttYAE,Legend of Fort Worth: Senior Living_OneSource project,On Hold,Chuck McNeely,"8600 N Riverside Dr, Keller, Texas, 76244",Fort Worth,TX,76244,Cat 2,In-Franchise,,,,,,geocode_failed,No_Match
006WR00000wkDtwYAE,Woodglen Square ll,PAL/ROE Complete,Brett Spivey,"523 West Guadalupe Road, Mesa, AZ, USA",Mesa,AZ,85210,Cat 1,In-Franchise,Cat 1,85.5,533 W GUADALUPE RD MESA AZ 85210,FB05,,no_change,"523 W GUADALUPE RD, MESA, AZ, 85210"
006WR00000wkDtxYAE,Olive East,On Hold,Brett Spivey,"65 E Olive Ave, Gilbert, AZ 85234, USA",Gilbert,AZ,85234,Cat 3,In-Franchise,Cat 3,4485.0,620 W COMMERCE AVE GILBERT AZ 85233,FDH31,,no_change,"65 E OLIVE AVE, GILBERT, AZ, 85234"
006WR00000wkDtyYAE,Cambria Apartments,On Hold,Marty Samuels,"130 West Guadalupe Road, Gilbert, AZ, USA",Gilbert,AZ,85233,Cat 2,In-Franchise,Cat 3,4151.5,620 W COMMERCE AVE GILBERT AZ 85233,FDH31,,change,"130 W GUADALUPE RD, GILBERT, AZ, 85233"
006WR00000wkDtzYAE,Whispering Hills Apartments,Marketing/Bulk Complete,Melissa Baker,306 N GILMER ST UNIT 101 KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,Cat 1,33.9,306 N GILMER ST UNIT 101 KILLEEN TX 76541,FB16,,no_change,"306 N GILMER ST, KILLEEN, TX, 76541"
006WR00000wkDu0YAE,Cielo II Apartments,PAL/ROE Complete,Brett Spivey,"3499 and 3501 Ranch Road 620, Austin, TX, USA",Austin,TX,78738,Cat 2,National,,,,,,geocode_failed,No_Match
006WR00000wkDu1YAE,The M at Lakeline,PAL/ROE Complete,Brett Spivey,"10500 Lakeline Mall Drive, Austin, TX, USA",Austin,TX,78717,Cat 2,National,Cat 3,58275.6,2101 WESTINGHOUSE RD GEORGETOWN TX 78626,FDH05,,change,"10500 LAKELINE MALL DR, AUSTIN, TX, 78717"
006WR00000wkDu2YAE,Palmero by the Park (f/k/a Overlook by the Park),PAL/ROE Complete,Brett Spivey,"1750 FM 423, Frisco, TX, USA",Frisco,TX,75034,Cat 2,National,Cat 3,42605.2,1980 E STATE HWY 121 BUSINESS UNIT 1124 LEWISVILLE TX 75056,FB02,,change,"1750 FM 423, FRISCO, TX, 75033"
006WR00000wkDu3YAE,La Costa Paloma,PAL/ROE Complete,Jeff Chao,"1953 Dove Lane, Carlsbad, CA, USA",Carlsbad,CA,92009,Cat 2,In-Franchise,Cat 3,3122.5,7201 PLAZA DE LA COSTA CARLSBAD CA 92009,FB10,,change,"1953 DOVE LN, CARLSBAD, CA, 92009"
006WR00000wkDu4YAE,High Country Villas 5&7,Marketing/Bulk In Progress,Justin Barry,"1893 Forestdale Dr, Encinitas, CA 92024",Encinitas,CA,92024,Cat 1,In-Franchise,Cat 1,76.2,1758 CHARLESTON LN ENCINITAS CA 92024,FDH59,,no_change,"1893 FORESTDALE DR, ENCINITAS, CA, 92024"
006WR00000wkDu5YAE,Southwest Patio Home Apartments,Marketing/Bulk Complete,Brett Spivey,"400 Jordan Loop, Chubbuck, ID, USA",Chubbuck,ID,83202,Cat 3,In-Franchise,,,,,,geocode_failed,No_Match
006WR00000wkDu6YAE,500 NE 70th,Marketing/Bulk Complete,Brett Spivey,"500 Weedin Place Northeast, Seattle, WA, USA",Seattle,WA,98115,Cat 3,In-Franchise,,,,,,geocode_failed,No_Match
006WR00000wkDu7YAE,San Montego Luxury Apartments,PAL/ROE Complete,Marty Samuels,"6745 E Superstition Springs Blvd, Mesa, AZ 85206",Mesa,AZ,85206,Cat 2,In-Franchise,Cat 3,13450.4,7353 E UNIVERSITY DR UNIT 1057 MESA AZ 85207,FB01,,change,"6745 E SUPERSTITION SPRINGS BLVD, MESA, AZ, 85206"
006WR00000wkDu8YAE,The Turn Apartments,PAL/ROE Complete,Marty Samuels,"14602 N 19th Ave, Phoenix, AZ 85023, USA",Phoenix,AZ,85023,Cat 2,In-Franchise,Cat 1,100.8,14602 N 19TH AVE UNIT 102 PHOENIX AZ 85023,FB01,,change,"14602 N 19TH AVE, PHOENIX, AZ, 85023"
006WR00000wkDu9YAE,Oakwood Apartments,PAL/ROE Complete,Chuck McNeely,"3501 Rhodes Road, Brownwood, TX, USA",Brownwood,TX,76801,Cat 3,In-Franchise,Cat 3,423071.4,4409 W STAN SCHLUETER LOOP KILLEEN TX 76549,FDH06,,no_change,"3501 RHODES RD, BROWNWOOD, TX, 76801"
006WR00000wkDuAYAU,Villas on Horne,PAL/ROE Complete,Jeff Wickersham,"1050 North Horne, Mesa, Arizona, 85203",Mesa,AZ,85203,Cat 2,In-Franchise,Cat 1,211.9,1050 N HORNE UNIT 66 MESA AZ 85203,FDH13,,change,"1050 N HORNE, MESA, AZ, 85203"
006WR00000wkDuBYAU,Riverview Townhomes,Marketing/Bulk Complete,Marty Samuels,"745 N Dobson Rd, Mesa, AZ 85201, USA",Mesa,AZ,85201,,In-Franchise,Cat 1,119.2,745 N DOBSON RD UNIT 101 MESA AZ 85201,FB05,,fill_blank,"745 N DOBSON RD, MESA, AZ, 85201"
